,ACF HR LT
1701,273600007
1702,293400064
1703,293400121
1704,301800006
1705,312600045
1706,312600046
1707,312600049
1708,082800084
1709,123600011
1710,130600012
1711,131900060
1712,131900084
1713,152400206
1714,162202027
1715,162202038
1716,162202043
1717,162202050
1718,162202051
1719,162202053
1720,162204033
1721,203100139
1722,211600012
1723,211600015
1724,212000114
1725,212000128
1726,212000146
1727,254611061
1728,291800012
1729,312600047
1730,091400004
1731,091400005
1732,162202021
1733,162202026
1734,162202032
1735,172500028
1736,211600016
1737,211600039
