sid,Нова Алтернатива,Демократическа Партия,НФСБ,Коалиция за България,Свобода и Достойнство,Нац.-Демократична Партия,Гражданска Листа - Модерна БГ,СДС,Либерален Алианс,Християн-Социален Съюз,Атака,ГЕРБ,РЗС,ВМРО - БНД,Демокр. Гражд. Инициатива,Християндем. партия,Средна Европейска Класа,Нац. Патриотично Обединение,Лидер,Зелените,ДСБ-БДФ,Социалдем. Партия,Другата България,Българската Левица,Кауза България,ДБГ,ДАНО,Българска Пролет,Горда България,Глас Народен,БЗНС,ДПС,Нац. Движение Единство,Партия на Бълг. Жени,Единна Народна Партия,Съюз на Комунистите,независими,npn,invalid,station_type,municipality,municipality_name,country_name,station,region_name,place,ekatte,address,eligible_voters
010300025,1,0.0,3,61,0,1,1,7,0,0.0,16,76,2,10,0.0,0.0,0.0,0.0,2,4.0,23,0.0,0.0,0,0,8,0,0.0,1,2,0.0,1,0.0,0.0,0,0.0,0.0,0.0,8.0,,03,Благоевград,България,025,БЛАГОЕВГРАД,гр.Благоевград,4279,-,419
010300026,4,0.0,10,90,3,0,0,6,1,0.0,43,143,22,20,2.0,0.0,0.0,0.0,4,2.0,36,0.0,0.0,0,0,22,0,3.0,1,14,3.0,0,0.0,0.0,2,0.0,0.0,0.0,11.0,,03,Благоевград,България,026,БЛАГОЕВГРАД,гр.Благоевград,4279,-,884
010300027,2,0.0,8,121,9,1,1,5,0,0.0,36,167,11,20,4.0,0.0,0.0,0.0,0,6.0,16,0.0,0.0,0,0,17,0,0.0,3,15,4.0,8,0.0,2.0,1,0.0,0.0,0.0,9.0,,03,Благоевград,България,027,БЛАГОЕВГРАД,гр.Благоевград,4279,-,714
010300028,1,0.0,4,80,0,0,0,3,1,0.0,16,79,10,11,4.0,0.0,0.0,0.0,9,0.0,17,0.0,0.0,1,0,17,0,1.0,8,16,0.0,0,0.0,0.0,0,0.0,0.0,0.0,9.0,,03,Благоевград,България,028,БЛАГОЕВГРАД,гр.Благоевград,4279,-,494
010300029,3,0.0,3,74,1,0,2,2,0,0.0,45,165,9,12,4.0,1.0,6.0,0.0,1,2.0,26,0.0,0.0,0,0,16,0,0.0,1,14,0.0,0,1.0,0.0,1,0.0,0.0,0.0,13.0,,03,Благоевград,България,029,БЛАГОЕВГРАД,гр.Благоевград,4279,-,699
010300030,1,0.0,7,72,1,6,0,5,0,0.0,27,96,20,11,1.0,0.0,0.0,1.0,0,1.0,16,0.0,0.0,0,0,9,0,1.0,2,12,0.0,4,0.0,0.0,1,0.0,0.0,0.0,6.0,,03,Благоевград,България,030,БЛАГОЕВГРАД,гр.Благоевград,4279,-,655
010300031,2,1.0,3,89,0,1,3,2,0,0.0,28,121,15,6,1.0,0.0,0.0,0.0,3,0.0,4,1.0,0.0,1,0,27,0,1.0,4,5,2.0,0,0.0,0.0,0,0.0,0.0,0.0,8.0,,03,Благоевград,България,031,БЛАГОЕВГРАД,гр.Благоевград,4279,-,698
010300032,0,0.0,0,62,0,0,1,3,1,0.0,13,63,4,7,0.0,0.0,2.0,0.0,0,1.0,11,0.0,0.0,0,0,9,0,0.0,2,5,0.0,1,0.0,1.0,3,0.0,0.0,0.0,5.0,,03,Благоевград,България,032,БЛАГОЕВГРАД,гр.Благоевград,4279,-,371
010300033,3,0.0,4,34,6,0,1,0,3,0.0,20,61,3,9,0.0,0.0,10.0,0.0,3,4.0,11,0.0,0.0,0,0,11,0,0.0,2,13,0.0,6,0.0,0.0,0,0.0,0.0,0.0,2.0,,03,Благоевград,България,033,БЛАГОЕВГРАД,гр.Благоевград,4279,-,213
010300034,4,0.0,11,109,1,0,1,12,2,0.0,33,131,11,11,0.0,0.0,0.0,0.0,6,1.0,18,0.0,0.0,0,0,20,0,0.0,5,7,0.0,1,0.0,0.0,1,0.0,0.0,0.0,17.0,,03,Благоевград,България,034,БЛАГОЕВГРАД,гр.Благоевград,4279,-,711
010300035,1,1.0,10,76,1,0,1,5,0,0.0,29,116,18,7,1.0,0.0,0.0,0.0,13,2.0,14,0.0,1.0,0,0,12,1,1.0,5,14,1.0,0,1.0,2.0,0,0.0,0.0,0.0,10.0,,03,Благоевград,България,035,БЛАГОЕВГРАД,гр.Благоевград,4279,-,724
010300036,1,0.0,8,74,0,0,1,6,0,0.0,24,120,18,6,0.0,0.0,2.0,0.0,7,1.0,14,1.0,2.0,0,0,13,0,3.0,3,14,0.0,0,0.0,0.0,1,0.0,0.0,0.0,6.0,,03,Благоевград,България,036,БЛАГОЕВГРАД,гр.Благоевград,4279,-,577
010300037,2,0.0,3,84,1,0,0,6,3,0.0,16,84,6,9,0.0,0.0,1.0,0.0,2,8.0,14,0.0,0.0,0,0,22,0,1.0,1,16,0.0,3,0.0,0.0,0,0.0,0.0,0.0,4.0,,03,Благоевград,България,037,БЛАГОЕВГРАД,гр.Благоевград,4279,-,558
010300038,1,0.0,7,64,1,0,1,5,5,0.0,23,79,12,5,0.0,1.0,1.0,0.0,6,3.0,2,0.0,0.0,0,0,9,0,0.0,0,5,0.0,0,0.0,0.0,1,0.0,0.0,0.0,5.0,,03,Благоевград,България,038,БЛАГОЕВГРАД,гр.Благоевград,4279,-,443
010300039,1,0.0,10,72,4,0,1,9,0,0.0,26,117,7,1,2.0,0.0,0.0,0.0,4,4.0,19,0.0,1.0,0,0,18,0,2.0,7,16,0.0,4,0.0,1.0,2,0.0,0.0,0.0,11.0,,03,Благоевград,България,039,БЛАГОЕВГРАД,гр.Благоевград,4279,-,551
